DocId,Highest
imh-11-387,Master
imh-11-388,Master
imh-11-389,Bachelor
imh-11-39,Doctorate
imh-11-390,Master
imh-11-391,Bachelor
imh-11-392,Bachelor
imh-11-393,Master
imh-11-395,Doctorate
imh-11-396,Master
imh-11-397,Doctorate
imh-11-398,Master
imh-11-399,Master
imh-11-40,Master
imh-11-400,Bachelor
imh-11-41,Bachelor
imh-11-42,Doctorate
imh-11-43,Doctorate
imh-11-44,Bachelor
imh-11-45,Master
imh-11-46,Bachelor
imh-11-47,Certificate
imh-11-48,Bachelor
imh-11-49,Master
imh-11-5,Bachelor
imh-11-50,Bachelor
imh-11-51,Master
imh-11-52,Master
imh-11-53,Master
imh-11-54,Master
imh-11-55,Master
imh-11-58,Bachelor
imh-11-59,Bachelor
imh-11-6,Master
imh-11-61,Doctorate
imh-11-62,Master
imh-11-63,Master
imh-11-64,Bachelor
imh-11-65,Bachelor
imh-11-66,Bachelor
imh-11-67,Master
imh-11-68,Bachelor
imh-11-69,Certificate
imh-11-7,Bachelor
imh-11-70,Certificate
imh-11-71,Bachelor
imh-11-72,Bachelor
imh-11-73,Master
imh-11-74,Doctorate
imh-11-75,Bachelor
imh-11-76,Doctorate
imh-11-77,Bachelor
imh-11-78,Certificate
imh-11-79,Bachelor
imh-11-8,Bachelor
imh-11-80,Bachelor
imh-11-81,Master
imh-11-82,Master
imh-11-83,Master
imh-11-84,Doctorate
imh-11-85,Bachelor
imh-11-86,Master
imh-11-87,Master
imh-11-88,Bachelor
imh-11-89,Bachelor
imh-11-9,Doctorate
imh-11-91,Master
imh-11-92,Master
imh-11-93,Master
imh-11-94,Master
imh-11-95,Master
imh-11-97,Doctorate
imh-11-99,Bachelor
