"","source","target"
"200","Boone University","Colorado School of Mines"
"201","Boone University","Columbia University"
"202","Nanyang College","University of California"
"203","Nanyang College","University of Illinois"
"204","Nanyang College","University of Wisconsin"
"205","Nanyang College","Columbia University"
"206","Nanyang College","Massachusetts Institute of Technology"
"207","Tsing Hua College","Columbia University"
"208","Tsing Hua College","Massachusetts Institute of Technology"
"209","Fukien Provincial College","University of Chicago"
"210","Fukien Provincial College","University of Pennsylvania"
"211","St. John's University","Yale University"
"212","Anglo-Chinese College (Foochow)","Colorado School of Mines"
"213","Anglo-Chinese College (Foochow)","Lehigh University"
"214","Tsing Hua College","Colorado School of Mines"
"215","Tsing Hua College","Lehigh University"
"216","St. John's University","University of Virginia"
"217","St. John's University","Yale University"
"218","McTyeire School","Randolph Macon Woman's College"
"219","Nanyang Middle School","University of California"
"220","Nanyang Middle School","University of Michigan"
"221","Chihli Provincial College","Clark University"
"222","Chihli Provincial College","Columbia University"
"223","Nankai School","Clark University"
"224","Nankai School","Columbia University"
"225","Aurora College","Yale University"
"226","Nanyang College","Yale University"
"227","Tzu-Kiang Grammar School","Cushing Academy"
"228","Tzu-Kiang Grammar School","Massachusetts Institute of Technology"
"229","Wuchang Pu-tung College","Cushing Academy"
"230","Wuchang Pu-tung College","Massachusetts Institute of Technology"
"231","Nanyang College","University of California"
"232","Nanyang College","Pomona College"
"233","Nanyang College","University of California"
"234","Tsing Hua College","Cornell University"
"235","Nanyang Middle School","University of Illinois"
"236","Tangshan Railway and Engineering College","University of Illinois"
"237","Lowrie Institute","Columbia University"
"238","Lowrie Institute","University of Wooster"
"239","Lowrie Institute","Wooster Academy"
"240","Lowrie Institute","Y.M.C.A. College"
"241","Lowrie Institute","Y.M.C.A. College Literary Society"
"242","Peiyang University","Harvard University"
"243","St. John's University","Cornell University"
"244","St. John's University","University of Pennsylvania"
"245","St. John's University","University of Wisconsin"
"246","Yu Tsai School","Cornell University"
"247","Yu Tsai School","University of Pennsylvania"
"248","Yu Tsai School","University of Wisconsin"
"249","Manila Funo College","Ann Arbor High School"
"250","Manila Funo College","Detroit University"
"251","Manila Funo College","Grand Rapids Central High School"
"252","Manila Funo College","University of Michigan"
"253","Anti-Footbinding School","New York Private School"
"254","Anti-Footbinding School","Northfield Seminary"
"255","Laura Hay Good Memorial School","New York Private School"
"256","Laura Hay Good Memorial School","Northfield Seminary"
"257","Anglo-Chinese College (Tientsin)","Columbia University"
"258","Peiyang University","Columbia University"
"259","Boone University","Lehigh University"
"260","St. John's University","Lehigh University"
"261","University of Nanking","Baker University"
"262","University of Nanking","Columbia University"
"263","Kiukiang Girls' High School","Baker University"
"264","Queen's College","Columbia University"
"265","Queen's College","Michigan Mining College"
"266","McTyeire School","Eliza Yates School"
"267","Shanghai Y.M.C.A. School","Highland Military Academy"
"268","Shanghai Y.M.C.A. School","Morton High School"
"269","Canton Christian College","Columbia University"
"270","Hongkong Technical Institute","Tufts College"
"271","Peiyang Medical College","Tufts College"
"272","St. John's University","University of Virginia"
"273","St. John's University","Phillips Academy"
"274","St. John's University","Purdue University"
"275","Nanking Christian College","University of Michigan"
"276","Shantung Provincial College","University of Illinois"
"277","Shantung Provincial College","University of Illinois"
"278","Shantung Provincial College","University of Pennsylvania"
"279","Shantung Provincial College","University of Vermont"
"280","Shantung University","University of Illinois"
"281","Shantung University","University of Pennsylvania"
"282","Shantung University","University of Vermont"
"283","Hung Wen School","Harvard University"
"284","Hung Wen School","University of Illinois"
"285","Hung Wen School","University of Wisconsin"
"286","Szechuen Provincial College","Harvard University"
"287","Szechuen Provincial College","University of Illinois"
"288","Szechuen Provincial College","University of Wisconsin"
"289","Nanyang College","Cornell University"
"290","Soochow Literary College","Cornell University"
"291","St. John's University","University of Michigan"
"292","Shantung Provincial College","Ohio University"
"293","Shantung Provincial College","University of Wisconsin"
"294","Tsinan Provincial Middle School","Ohio University"
"295","Tsinan Provincial Middle School","University of Wisconsin"
"296","Anglo-Chinese College (Tientsin)","Yale University"
"297","Peking Government University","Yale University"
"298","McKinley High School","Columbia University"
"299","McKinley High School","University of California"
"300","Kwang Ya College","Columbia University"
"301","Kwang Ya College","New York University"
"302","Peking Government University","Columbia University"
"303","Peking Government University","New York University"
"304","Chihli Provincial College","Worcester Polytechnic Institute"
"305","Chihli Provincial College","Worcester Polytechnic Institute Y.M.C.A"
"306","Nankai School","Worcester Polytechnic Institute"
"307","Nankai School","Worcester Polytechnic Institute Y.M.C.A"
"308","McTyeire School","Columbia University"
"309","McTyeire School","Cottey College"
"310","McTyeire School","Wellesley College"
"311","Soochow Mission Girls' School","Columbia University"
"312","Soochow Mission Girls' School","Cottey College"
"313","Soochow Mission Girls' School","Wellesley College"
"314","Canton Western College","University of Washington"
"315","Peking Government University","University of Washington"
"316","Ih-Cu Middle School","Yale University"
"317","Nanyang College","University of California"
"318","Nanyang College","University of Illinois"
"319","St. John's University","Cornell University"
"320","Oahu College","Morgan Park Academy"
"321","Oahu College","University of Chicago"
"322","Punahou School","Morgan Park Academy"
"323","Punahou School","University of Chicago"
"324","Fu Tan College","Columbia University"
"325","Fu Tan College","Cornell University"
"326","St. John's University","Columbia University"
"327","St. John's University","Cornell University"
"328","Fen-Chow Middle School","Oberlin Academy"
"329","Fen-Chow Middle School","Oberlin College"
"330","Fen-Chow Middle School","Yale University"
"331","Tai-Kuo Middle School","Oberlin Academy"
"332","Tai-Kuo Middle School","Oberlin College"
"333","Tai-Kuo Middle School","Yale University"
"334","North China Union College","Oberlin University"
"335","North China Union College","Yale University"
"336","Eliza Yates School","National Kindergarten College"
"337","Eliza Yates School","Oberlin College"
"338","Fu Tan College","Colorado School of Mines"
"339","Soochow University","Columbia University"
"340","Soochow University","University of Wisconsin"
"341","Ching-Kiang Middle School","Harvard University"
"342","Ching-Kiang Middle School","Massachusetts Institute of Technology"
"343","Shun-Tien College","Harvard University"
"344","Shun-Tien College","Massachusetts Institute of Technology"
"345","Nanyang College","Stanford University"
"346","Nanyang College","University of California"
"347","Hunan Provincial College","Oberlin College"
"348","Hunan Provincial College","University of Michigan"
"349","Tokio Commercial School","Oberlin College"
"350","Tokio Commercial School","University of Michigan"
"351","Nanyang College","U.S. Military Academy"
"352","Nanyang College","Virginia Military Institute"
"353","Soochow University","Columbia University"
"354","Soochow University","Purdue University"
"355","Soochow University","University of Wisconsin"
"356","Soochow University","Williston Seminary"
"357","Shanghai Educational Mission School","Yale University"
"358","Aurora College","Brown University"
"359","Nanyang College","University of Wisconsin"
"360","Nanyang Middle School","University of Wisconsin"
"361","Nanyang College","Columbia University"
"362","Nanyang College","Lehigh University"
"363","Nanyang College","University of Wisconsin"
"364","Soochow English Language School","Columbia University"
"365","Soochow English Language School","Lehigh University"
"366","Soochow English Language School","University of Wisconsin"
"367","Soochow Railway College","Columbia University"
"368","Soochow Railway College","Lehigh University"
"369","Soochow Railway College","University of Wisconsin"
"370","St. John's University","New York Medical College"
"371","St. John's University","Western Reserve University"
"372","Anglo-Chinese College (Shanghai)","Columbia University"
"373","Anglo-Chinese College (Shanghai)","Park College"
"374","Anglo-Chinese College (Shanghai)","University of Missouri"
"375","Lowrie Institute","Columbia University"
"376","Lowrie Institute","Park College"
"377","Lowrie Institute","University of Missouri"
"378","Shanghai High School","Columbia University"
"379","Shanghai High School","Park College"
"380","Shanghai High School","University of Missouri"
"381","Peking Government University","Cornell University"
"382","Peking Government University","University of Chicago"
"383","Peking Government University","University of Illinois"
"384","St. John's University","Columbia University"
"385","St. John's University","New York University"
"386","Soochow University","Cornell University"
"387","Soochow University","Purdue University"
"388","Nanyang College","Harvard University"
"389","Nanyang College","University of Wisconsin"
"390","Peiyang University","Harvard University"
"391","Peiyang University","University of Wisconsin"
"392","Hiroshima Girls' School","La George College"
"393","McTyeire School","La George College"
"394","Nanyang College","Cornell University"
"395","Sungkiang Middle School","Cornell University"
"396","Tsing Hua College","Cornell University"
"397","Fu Tan College","Colorado School of Mines"
"398","Waseda University","University of Pennsylvania"
"399","Oahu College","Detroit University"
"400","Honolulu High School","Columbia University"
"401","Honolulu High School","Lehigh University"
"402","Honolulu High School","Yale University"
"403","St. John's University","Albany Business College"
"404","St. John's University","Cook Academy"
"405","St. John's University","Elmira Academy"
"406","St. John's University","Union College"
"407","St. John's University","Cornell University"
"408","St. John's University","University of Wisconsin"
"409","Soochow University","Columbia University"
"410","Soochow University","University of Wisconsin"
"411","Nanyang College","University of Pennsylvania"
"412","Kiangsi Provincial College","Princeton University"
"413","Kiangsi Provincial College","University of Wisconsin"
"414","Peking Government University","Princeton University"
"415","Peking Government University","University of Wisconsin"
"416","Canton Christian College","Columbia University"
"417","Canton Christian College","University of Wooster"
"418","Canton Christian College","Wellesley College"
"419","London Mission Girls' School","Columbia University"
"420","London Mission Girls' School","University of Wooster"
"421","London Mission Girls' School","Wellesley College"
"422","Macao Girls' School","Columbia University"
"423","Macao Girls' School","University of Wooster"
"424","Macao Girls' School","Wellesley College"
"425","Foochow College","Cornell University"
"426","Foochow College","Michigan College of Mines"
"427","McKinley High School","Columbia University"
"428","Nanyang College","Union College"
"429","Soochow English Language School","Union College"
"430","Nanyang College","Cornell University"
"431","Wen-Hui College","Charles City College"
"432","William Nast College","Charles City College"
"433","Fu Tan College","Cornell University"
"434","Nanyang College","Ohio State University"
"435","St. John's University","Ohio State University"
"436","St. John's University","Central High School"
"437","St. John's University","Yale University"
"438","Canton Educational Mission School","University of California"
"439","Canton Educational Mission School","University of Wisconsin"
"440","Shih Min School","University of California"
"441","Shih Min School","University of Wisconsin"
"442","Canton Christian College","Army Service School"
"443","Canton Christian College","Cornell University"
"444","Peking Government University","University of Michigan"
"445","Wu-Cheng High School","University of Michigan"
"446","Peiyang University","University of Pennsylvania"
"447","Tientsin High School","University of Pennsylvania"
"448","Anglo-Chinese College (Tientsin)","Harvard Medical School"
"449","Anglo-Chinese College (Tientsin)","Harvard University"
"450","Peiyang University","Harvard Medical School"
"451","Peiyang University","Harvard University"
"452","University of Nanking","Northwestern University"
"453","University of Nanking","University of Chicago"
"454","Boone University","Yale University"
"455","St. John's University","Yale University"
"456","Nanyang Middle School","University of Michigan"
"457","Nanyang Middle School","University of Minnesota"
"458","Tsing Hua College","University of Michigan"
"459","Tsing Hua College","University of Minnesota"
"460","Peiyang University","Harvard University"
"461","Tientsin Putung Middle School","Harvard University"
"462","Canton Christian College","Columbia University"
"463","Canton Christian College","Rensselaer Polytechnic Institute"
"464","Anglo-Chinese College (Foochow)","University of Wisconsin"
"465","Peking Customs College","University of Wisconsin"
"466","Loong Men Normal School","A & M College"
"467","Loong Men Normal School","University of Illinois"
"468","Loong Men Normal School","University of Wisconsin"
"469","Peking Government University","Columbia University"
"470","Nanyang College","Harvard University"
"471","Peiyang University","Harvard University"
"472","Punahou School","Columbia University"
"473","Punahou School","Yale University"
"474","Peiyang University","Harvard University"
"475","Tientsin Putung Middle School","Harvard University"
"476","Pui-Ching Academy","Philadelphia College of Pharmacy"
"477","Scotch College","Philadelphia College of Pharmacy"
"478","Chuen Hung School","New York University"
"479","Hanlin Academy","Columbia University"
"480","Peiyang University","Columbia University"
"481","St. John's University","Columbia University"
"482","St. John's University","Princeton University"
"483","Peiyang University","Boston University"
"484","Peiyang University","Cornell University"
"485","Peiyang University","Massachusetts Agricultural College"
"486","Queen's College","Boston University"
"487","Queen's College","Cornell University"
"488","Queen's College","Massachusetts Agricultural College"
"489","Peiyang University","University of Pennsylvania"
"490","Soochow University","University of Pennsylvania"
"491","Queen's College","Massachusetts Institute of Technology"
"492","Hui Ying School","University of California"
"493","Peiyang University","University of California"
"494","Anglo-Chinese College (Foochow)","Tilton Seminary"
"495","Anglo-Chinese College (Foochow)","University of Michigan"
"496","Anglo-Chinese College (Foochow)","Wesleyan Academy"
"497","Cebu Chinese School","Tilton Seminary"
"498","Cebu Chinese School","University of Michigan"
"499","Cebu Chinese School","Wesleyan Academy"
"500","University of Nanking","Cornell University"
"501","University of Nanking","University of Michigan"
"502","University of Nanking","University of Wisconsin"
"503","St. John's University","Columbia University"
"504","St. John's University","Yale University"
"505","St. John's University","Purdue University"
"506","Peking Methodist University","Amherst College"
"507","Peking Methodist University","Columbia University"
"508","McTyeire School","Knickerbocker Hall College"
"509","Nanyang Middle School","Columbia University"
"510","Nanyang Middle School","Lawrence Academy"
"511","Nanyang Middle School","University of Illinois"
"512","St. Xaviers' School","Lehigh University"
"513","St. Xaviers' School","University of Virginia"
"514","St. Xaviers' School","Virginia Episcopal High School"
"515","Tung Wen College","Lehigh University"
"516","Tung Wen College","University of Virginia"
"517","Tung Wen College","Virginia Episcopal High School"
"518","Anglo-Chinese College (Shanghai)","University of Virginia"
"519","Anglo-Chinese College (Shanghai)","Virginia Episcopal High School"
"520","Tung Wen College","University of Virginia"
"521","Tung Wen College","Virginia Episcopal High School"
"522","Kiukiang First School","Berea College"
"523","Kiukiang First School","Syracuse University"
"524","Kiukiang First School","University of Michigan"
"525","Teh-Hua School","Berea College"
"526","Teh-Hua School","Syracuse University"
"527","Teh-Hua School","University of Michigan"
"528","Wen-Hua School","Berea College"
"529","Wen-Hua School","Syracuse University"
"530","Wen-Hua School","University of Michigan"
"531","Shanghai Technical College","Massachusetts Institute of Technology"
"532","Rulison High School","Central Wesleyan College"
"533","Rulison High School","Folt Mission Institute"
"534","Rulison High School","Minneapolis Kindergarten Training School"
"535","Rulison High School","Rulison High School"
"536","William Nast College","Central Wesleyan College"
"537","William Nast College","Harvard University"
"538","William Nast College","Syracuse University"
"539","Canton Christian College","Kansas State Agricultural College"
"540","Canton Christian College","Occidental College"
"541","Canton Christian College","Pennsylvania State College"
"542","Oahu College","Cornell University"
"543","Oahu College","New York University"
"544","Anhui Provincial College","Harvard University"
"545","Anhui Provincial College","University of Illinois"
"546","Anhui Provincial College","Wesleyan Academy"
"547","Kiangsi Provincial College","Harvard University"
"548","Kiangsi Provincial College","University of Illinois"
"549","Kiangsi Provincial College","Wesleyan Academy"
"550","Iolani School","Ohio State University"
"551","Iolani School","State University of Iowa"
"552","Iolani School","University of Chicago"
