"","source","target"
"717",NA,"Wesleyan Academy"
"718",NA,"Athens College"
"719",NA,"George Peabody College"
"720",NA,"Columbia University"
"721",NA,"Harvard University"
"722",NA,"Springfield Technical High School"
"723",NA,"University of North Carolina"
"724",NA,"University of Illinois"
"725",NA,"University of Pittsburg"
"726",NA,"Cornell University"
"727",NA,"Massachusetts Institute of Technology"
"728",NA,"Colgate University"
"729",NA,"Massachusetts Institute of Technology"
"730",NA,"Wesleyan Academy"
"731",NA,"University of Michigan"
"732",NA,"University of California"
"733",NA,"Columbia University"
"734",NA,"Brown University"
"735",NA,"Columbia University"
"736",NA,"State University of Iowa"
"737",NA,"Yale University"
"738",NA,"Ohio Wesleyan University"
"739",NA,"University of Iowa"
"740",NA,"University of Pennsylvania"
"741",NA,"University of Michigan"
"742",NA,"Columbia University"
"743",NA,"Cornell University"
"744",NA,"Brown University"
"745",NA,"University of California"
"746",NA,"University of Michigan"
"747",NA,"Harvard University"
"748",NA,"University of California"
"749",NA,"Columbia University"
"750",NA,"New York City College"
"751",NA,"St. Louis College"
"752",NA,"University of Pittsburgh"
"753",NA,"Oberlin College"
"754",NA,"Columbia Class Graduation Committee"
"755",NA,"Columbia University"
"756",NA,"Cornell University"
"757",NA,"Union College"
"758",NA,"University of Chicago"
"759",NA,"Vanderbilt University"
"760",NA,"Hunter College"
"761",NA,"University of Wisconsin"
"762",NA,"Cornell University"
"763",NA,"Cornell University"
"764",NA,"Harvard University"
"765",NA,"State University of Ohio"
"766",NA,"University of Wisconsin"
"767",NA,"University of California"
"768",NA,"Yale University"
"769",NA,"Johns Hopkins University"
"770",NA,"University of Michigan"
"771",NA,"University of Michigan"
"772",NA,"Bissell College"
"773",NA,"Peirce College"
"774",NA,"University of Indiana"
"775",NA,"University of Wisconsin"
"776",NA,"Easthampton High School"
"777",NA,"University of Pennsylvania"
"778",NA,"Williston Seminary"
"779",NA,"University of Michigan"
"780",NA,"Columbia University"
"781",NA,"Cornell University"
"782",NA,"Lehigh University"
"783",NA,"Columbia University"
"784",NA,"University of Missouri"
"785",NA,"Yale-Columbia School for Foreign Service"
"786",NA,"University of Iowa"
"787",NA,"Cornell University"
"788",NA,"University of Wisconsin"
"789",NA,"University of Pennsylvania"
"790",NA,"Yale University"
"791",NA,"Cornell University"
"792",NA,"Harvard Medical School"
"793",NA,"University of Illinois"
"794",NA,"Hartford High School"
"795",NA,"Hooker Grammar School"
"796",NA,"Springfield High School"
"797",NA,"University of Wisconsin"
"798",NA,"Columbia University"
"799",NA,"New York City College"
"800",NA,"New York University"
"801",NA,"Denison University"
"802",NA,"Ohio State University"
"803",NA,"Wyoming Seminary"
"804",NA,"Hartford High School"
"805",NA,"Forest Park University"
"806",NA,"Philadelphia Woman's Medical College"
"807",NA,"Colorado School of Mines"
"808",NA,"Lehigh University"
"809",NA,"Williston Seminary"
"810",NA,"Ohio Northern University"
"811",NA,"Stanford University"
"812",NA,"University of California"
"813",NA,"Columbia Graduate School"
"814",NA,"Columbia University"
"815",NA,"Princeton University"
"816",NA,"Cornell University"
"817",NA,"Stuart Hall"
"818",NA,"Baldwin Wallace College"
"819",NA,"Case School of Applied Science"
"820",NA,"University of Pennsylvania"
"821",NA,"Cornell University"
"822",NA,"University of Chicago"
"823",NA,"University of Wisconsin"
"824",NA,"Lehigh University"
"825",NA,"Tilton Seminary"
"826",NA,"Wesleyan Academy"
"827",NA,"Cornell College Football Team"
"828",NA,"Cornell University"
"829",NA,"University of Illinois"
"830",NA,"Columbia University"
"831",NA,"Lehigh University"
"832",NA,"Colgate University"
"833",NA,"Ithaca High School"
"834",NA,"University of Pennsylvania"
"835",NA,"University of Pennsylvania"
"836",NA,"University of Wisconsin"
"837",NA,"Harvard University"
"838",NA,"Columbia University"
"839",NA,"University of California"
"840",NA,"Drake University"
"841",NA,"University of Oregon"
"842",NA,"University of Indiana"
"843",NA,"Columbia University"
"844",NA,"Trinity School"
"845",NA,"University of California"
"846",NA,"Cornell College Football Team"
"847",NA,"Cornell University"
"848",NA,"Colorado School of Mines"
"849",NA,"Columbia University"
"850",NA,"Cornell University"
"851",NA,"Hartford Grammar School"
"852",NA,"New Britain High School"
"853",NA,"Massachusetts Agricultural College"
"854",NA,"San Francisco College of Physicians and Surgeons"
"855",NA,"University of Illinois"
"856",NA,"Phillips Academy"
"857",NA,"New York University"
"858",NA,"University of California"
"859",NA,"University of California Faculty Club"
"860",NA,"Pacific College"
"861",NA,"University of Arizona"
"862",NA,"Harvard University"
"863",NA,"University of California"
"864",NA,"University of Chicago"
"865",NA,"University of Wisconsin"
"866",NA,"Columbia University"
"867",NA,"Harvard University"
"868",NA,"Harvard University"
"869",NA,"University of Chicago"
"870",NA,"University of Illinois"
"871",NA,"Colgate University"
"872",NA,"Medical College of Virginia"
"873",NA,"Yale University"
"874",NA,"George Washington University"
"875",NA,"Columbia University"
"876",NA,"Pomona College"
"877",NA,"University of California"
"878",NA,"Massachusetts Institute of Technology"
"879",NA,"William Seminary"
"880",NA,"Cornell University"
"881",NA,"Columbia University"
"882",NA,"Wells College"
"883",NA,"George Washington University"
"884",NA,"University of Michigan"
"885",NA,"Columbia University"
"886",NA,"Haverford College"
"887",NA,"Cornell University"
"888",NA,"Harvard University"
"889",NA,"University of Chicago"
"890",NA,"University of Michigan"
"891",NA,"Harvard University"
"892",NA,"University of California"
"893",NA,"Columbia University"
"894",NA,"Union College"
"895",NA,"Harvard University"
"896",NA,"Massachusetts Institute of Technology"
"897",NA,"University of Illinois"
"898",NA,"Easthampton High School"
"899",NA,"Massachusetts Institute of Technology"
"900",NA,"Wilbraham High School"
"901",NA,"Harvard University"
"902",NA,"University of California"
"903",NA,"Columbia University"
"904",NA,"General Theological Seminary"
"905",NA,"New York University"
"906",NA,"Atlantic City High School"
"907",NA,"Force School"
"908",NA,"Western High School"
"909",NA,"Mt. Herman School"
"910",NA,"Rensselaer Polytechnic Institute"
"911",NA,"Salem Public School"
"912",NA,"Harvard University"
"913",NA,"Princeton University"
"914",NA,"University of California"
"915",NA,"University of Wisconsin"
"916",NA,"Northwestern University"
"917",NA,"University of Oregon"
"918",NA,"Massachusetts Institute of Technology"
"919",NA,"University of Pennsylvania"
"920",NA,"Yale University"
"921",NA,"Drexel Institute"
"922",NA,"Pennsylvania State Normal School"
"923",NA,"Valparaiso University"
"924",NA,"University of Chicago"
"925",NA,"Louisville Preparatory School"
"926",NA,"University of Tennessee"
"927",NA,"Columbia University"
"928",NA,"University of Wisconsin"
"929",NA,"University of Chicago"
"930",NA,"University of Illinois"
"931",NA,"Cornell University"
"932",NA,"University of Michigan"
"933",NA,"Yale University"
"934",NA,"George Washington University"
"935",NA,"Cornell University"
"936",NA,"University of California"
"937",NA,"Ohio Wesleyan University"
"938",NA,"University of Chicago"
"939",NA,"University of California"
"940",NA,"University of Wisconsin"
"941",NA,"Fort Worth University"
"942",NA,"Columbia University"
"943",NA,"University of California"
"944",NA,"University of Illinois"
"945",NA,"University of Wisconsin"
"946",NA,"Worcester Polytechnic Institute"
"947",NA,"Butler College"
"948",NA,"University of Louisville"
"949",NA,"University of Chicago"
